"","Date","HomeTeam","HS","AwayTeam","AS"
"1",17-08-18,"Leganes",16,"Alaves",6
"2",17-08-18,"Valencia",22,"Las Palmas",5
"3",17-08-19,"Celta",16,"Sociedad",13
"4",17-08-19,"Girona",13,"Ath Madrid",9
"5",17-08-19,"Sevilla",9,"Espanol",9
"6",17-08-20,"Ath Bilbao",12,"Getafe",8
"7",17-08-20,"Barcelona",15,"Betis",3
"8",17-08-20,"La Coruna",12,"Real Madrid",16
"9",17-08-21,"Levante",14,"Villarreal",9
"10",17-08-21,"Malaga",10,"Eibar",13
"11",17-08-25,"Betis",10,"Celta",9
"12",17-08-25,"Sociedad",15,"Villarreal",6
"13",17-08-26,"Alaves",11,"Barcelona",23
"14",17-08-26,"Girona",15,"Malaga",7
"15",17-08-26,"Las Palmas",10,"Ath Madrid",8
"16",17-08-26,"Levante",24,"La Coruna",11
"17",17-08-27,"Eibar",14,"Ath Bilbao",10
"18",17-08-27,"Espanol",17,"Leganes",12
"19",17-08-27,"Getafe",15,"Sevilla",6
"20",17-08-27,"Real Madrid",22,"Valencia",7
"21",17-09-08,"Leganes",11,"Getafe",11
"22",17-09-09,"Barcelona",20,"Espanol",9
"23",17-09-09,"Real Madrid",18,"Levante",5
"24",17-09-09,"Sevilla",12,"Eibar",7
"25",17-09-09,"Valencia",11,"Ath Madrid",13
"26",17-09-10,"Ath Bilbao",7,"Girona",11
"27",17-09-10,"Celta",20,"Alaves",5
"28",17-09-10,"La Coruna",11,"Sociedad",15
"29",17-09-10,"Villarreal",14,"Betis",8
"30",17-09-11,"Malaga",14,"Las Palmas",10
"31",17-09-15,"Eibar",10,"Leganes",5
"32",17-09-16,"Ath Madrid",17,"Malaga",9
"33",17-09-16,"Betis",17,"La Coruna",11
"34",17-09-16,"Getafe",13,"Barcelona",7
"35",17-09-16,"Levante",9,"Valencia",13
"36",17-09-17,"Alaves",16,"Villarreal",16
"37",17-09-17,"Girona",13,"Sevilla",13
"38",17-09-17,"Las Palmas",12,"Ath Bilbao",11
"39",17-09-17,"Sociedad",10,"Real Madrid",18
"40",17-09-18,"Espanol",9,"Celta",11
"41",17-09-19,"Barcelona",11,"Eibar",13
"42",17-09-19,"Valencia",16,"Malaga",11
"43",17-09-20,"Ath Bilbao",12,"Ath Madrid",16
"44",17-09-20,"La Coruna",15,"Alaves",8
"45",17-09-20,"Leganes",12,"Girona",10
"46",17-09-20,"Real Madrid",27,"Betis",12
"47",17-09-20,"Sevilla",14,"Las Palmas",6
"48",17-09-21,"Celta",8,"Getafe",10
"49",17-09-21,"Levante",13,"Sociedad",13
"50",17-09-21,"Villarreal",14,"Espanol",10
"51",17-09-23,"Alaves",8,"Real Madrid",21
"52",17-09-23,"Ath Madrid",13,"Sevilla",11
"53",17-09-23,"Girona",13,"Barcelona",9
"54",17-09-23,"Malaga",15,"Ath Bilbao",8
"55",17-09-24,"Eibar",9,"Celta",10
"56",17-09-24,"Espanol",17,"La Coruna",21
"57",17-09-24,"Getafe",17,"Villarreal",6
"58",17-09-24,"Las Palmas",8,"Leganes",9
"59",17-09-24,"Sociedad",18,"Valencia",13
"60",17-09-25,"Betis",14,"Levante",8
"61",17-09-29,"Celta",16,"Girona",10
"62",17-09-30,"La Coruna",15,"Getafe",10
"63",17-09-30,"Leganes",7,"Ath Madrid",11
"64",17-09-30,"Levante",13,"Alaves",8
"65",17-09-30,"Sevilla",12,"Malaga",11
"66",17-10-01,"Barcelona",22,"Las Palmas",10
"67",17-10-01,"Real Madrid",22,"Espanol",8
"68",17-10-01,"Sociedad",17,"Betis",10
"69",17-10-01,"Valencia",10,"Ath Bilbao",16
"70",17-10-01,"Villarreal",12,"Eibar",8
"71",17-10-13,"Espanol",20,"Levante",13
"72",17-10-14,"Alaves",8,"Sociedad",13
"73",17-10-14,"Ath Bilbao",15,"Sevilla",14
"74",17-10-14,"Ath Madrid",5,"Barcelona",15
"75",17-10-14,"Getafe",8,"Real Madrid",16
"76",17-10-15,"Betis",13,"Valencia",13
"77",17-10-15,"Eibar",15,"La Coruna",11
"78",17-10-15,"Girona",14,"Villarreal",5
"79",17-10-15,"Malaga",13,"Leganes",19
"80",17-10-16,"Las Palmas",24,"Celta",14
"81",17-10-21,"Barcelona",12,"Malaga",13
"82",17-10-21,"Betis",12,"Alaves",7
"83",17-10-21,"Levante",5,"Getafe",9
"84",17-10-21,"Valencia",18,"Sevilla",18
"85",17-10-22,"Celta",19,"Ath Madrid",4
"86",17-10-22,"Leganes",15,"Ath Bilbao",7
"87",17-10-22,"Real Madrid",15,"Eibar",9
"88",17-10-22,"Villarreal",25,"Las Palmas",16
"89",17-10-23,"La Coruna",15,"Girona",13
"90",17-10-23,"Sociedad",19,"Espanol",4
"91",17-10-28,"Alaves",16,"Valencia",7
"92",17-10-28,"Ath Bilbao",17,"Barcelona",17
"93",17-10-28,"Ath Madrid",18,"Villarreal",12
